Store Number,Period,Sales Inc VAT,Sales Ex VAT,Volume,Transactions,CSAT,ASP,Category,Junior Buyer Area,Area,TPNB,Margin,Customer Families,Clubcard Penetration,Avg weekly Customer Frequency,GHS vs Instore,Convenience store names
1,P1,9645.19,431.24,357,167,97,226.56,Fresh,Frozen Foods,North Dublin,SKU_18,322.03,Wick,0.16,4.1,GHS,Wexford Store
1,P1,7046.3,3765.89,324,264,92,279.51,Packaged,Dairy,Mid-West,SKU_19,468.81,Roshni,0.4,1.18,InStore,Arklow Store
1,P1,2425.01,2577.56,172,161,74,415.13,Fresh,Berries,North Dublin,SKU_20,29.28,Zeta,0.29,2.3,InStore,Wilton Store
1,P1,6349.86,5439.41,384,255,81,17.92,Packaged,Berries,Kerry/Limerick,SKU_21,263.62,Omega,0.19,2.33,InStore,Arklow Store
1,P1,4883.17,431.52,450,199,71,436.41,Fresh,Juice,Mid-West,SKU_22,271.22,Roshni,0.57,0.63,InStore,Arklow Store
1,P1,3111.5,9242.1,499,245,87,24.68,Clothing,Juice,South Dublin,SKU_23,359.34,Zeta,0.82,2.1,InStore,Wexford Store
1,P1,8130.47,7483.63,91,264,73,88.65,Packaged,Snacks,North Dublin,SKU_24,109.26,Zeta,0.16,4.92,InStore,Wexford Store
1,P1,6453.5,7566.43,280,156,95,42.18,Fresh,Beers,Mid-West,SKU_25,73.15,Zeta,0.39,2.87,InStore,New Store
1,P1,3615.17,5848.97,297,103,92,278.37,Packaged,Berries,South Dublin,SKU_26,321.73,Wick,0.3,1.39,GHS,Wexford Store
1,P1,874.03,6049.6,478,275,88,40.75,Clothing,Juice,South Dublin,SKU_27,242.75,Roshni,0.59,2.85,GHS,Wilton Store
1,P1,4855.13,1935.1,461,248,78,282.75,Fresh,Snacks,Kerry/Limerick,SKU_28,43.05,Zeta,0.43,2.17,GHS,Wexford Store
1,P1,8200.2,7603.73,358,60,91,328.35,Fresh,Snacks,Mid-West,SKU_29,85.58,Omega,0.24,4.42,GHS,Arklow Store
1,P1,6852.5,4511.81,99,176,72,359.93,Packaged,Beers,Kerry/Limerick,SKU_30,427.76,Zeta,0.18,2.42,GHS,Wilton Store
1,P1,3139.94,868.5,426,266,93,453.78,Clothing,Breads,Mid-West,SKU_31,398.2,Zeta,0.72,3.38,GHS,New Store
1,P1,2118.57,3697.43,272,238,99,426.79,Clothing,Breads,Mid-West,SKU_32,417.4,Zeta,0.85,1.12,GHS,Wexford Store
1,P1,1512.09,1467.04,56,138,100,463.35,Clothing,Frozen Foods,North Dublin,SKU_33,104.88,Wick,0.76,0.86,InStore,Arklow Store
1,P1,9694.99,1042.82,289,70,89,33.03,Packaged,Juice,North Dublin,SKU_34,144.66,Omega,0.59,1.44,InStore,Arklow Store
1,P1,818.75,9410.7,480,78,71,425.58,Packaged,Snacks,Mid-West,SKU_35,147.24,Omega,0.71,2.31,GHS,Wexford Store
1,P1,7947.15,2964.31,133,298,87,289.78,Clothing,Juice,South Dublin,SKU_36,404.87,Roshni,0.51,4.15,GHS,New Store
1,P1,4678.41,2856.82,358,78,82,84.65,Packaged,Berries,North Dublin,SKU_37,438.91,Roshni,0.66,1.03,GHS,Wilton Store
1,P1,7256.06,7216.06,239,183,96,345.97,Packaged,Beers,North Dublin,SKU_38,150.63,Zeta,0.83,2.27,InStore,Wilton Store
1,P1,8496.25,3784.23,115,160,90,338.25,Clothing,Berries,South Dublin,SKU_39,292.31,Roshni,0.94,1.41,GHS,Wilton Store
1,P1,2264.78,4459.09,482,81,92,341.58,Packaged,Juice,Mid-West,SKU_40,387.34,Omega,0.94,4.98,InStore,New Store
1,P1,4969.16,7343.45,118,137,76,195.72,Clothing,Snacks,North Dublin,SKU_41,317.93,Omega,0.87,4.83,GHS,Arklow Store
1,P1,8113.87,4751.94,349,189,74,105.51,Packaged,Breads,Kerry/Limerick,SKU_42,102.48,Wick,0.4,4.44,GHS,New Store
1,P1,8786.75,6626.29,452,53,79,447.95,Clothing,Beers,Kerry/Limerick,SKU_43,485.81,Omega,0.26,1.78,GHS,New Store
1,P1,9229.78,8643.75,145,240,86,318.67,Fresh,Beers,South Dublin,SKU_44,303.21,Wick,0.81,4.76,GHS,Arklow Store
1,P1,1080.51,4170.18,163,227,70,479.88,Packaged,Frozen Foods,North Dublin,SKU_45,58.76,Zeta,0.44,2.31,InStore,New Store
1,P1,9067.21,4295.23,140,179,89,183.15,Clothing,Breads,North Dublin,SKU_46,357.49,Omega,0.75,2.2,GHS,Wexford Store
1,P1,1151.91,9141.96,209,236,75,381.59,Packaged,Dairy,Kerry/Limerick,SKU_47,459.51,Zeta,0.92,3.49,InStore,Arklow Store
1,P1,7490.82,4747.45,223,180,89,406.04,Fresh,Juice,North Dublin,SKU_48,213.03,Roshni,0.2,0.51,GHS,Arklow Store
1,P1,6438.33,5393.21,92,217,79,115.98,Fresh,Breads,South Dublin,SKU_49,346.09,Omega,0.87,2.85,GHS,Wilton Store
1,P1,2515.06,1895.91,370,266,83,51.94,Fresh,Snacks,South Dublin,SKU_50,332.79,Omega,0.17,0.95,GHS,Wilton Store
1,P1,7665.67,8445.81,255,101,75,149.86,Clothing,Breads,Kerry/Limerick,SKU_51,76.46,Omega,0.75,1.56,InStore,Wexford Store
1,P1,9037.56,1533.2,231,167,84,43.27,Clothing,Juice,Kerry/Limerick,SKU_52,188.82,Zeta,0.95,4.03,GHS,Wexford Store
1,P1,2913.15,4398.4,301,183,84,373.17,Fresh,Frozen Foods,Kerry/Limerick,SKU_53,169.45,Wick,0.95,0.75,GHS,Wilton Store
1,P1,5759.12,5364.4,110,259,93,244.55,Packaged,Dairy,North Dublin,SKU_54,249.06,Omega,0.17,1.33,GHS,Arklow Store
1,P1,4293.73,404.14,392,199,100,201.51,Clothing,Breads,North Dublin,SKU_55,484.16,Zeta,0.99,4.81,InStore,Wexford Store
1,P1,595.87,8067.05,266,183,86,432.38,Clothing,Berries,Mid-West,SKU_56,444.85,Roshni,0.67,3.97,GHS,Arklow Store
1,P1,2785.45,7995.56,445,270,77,255.77,Packaged,Berries,Kerry/Limerick,SKU_57,91.73,Roshni,0.3,4.56,GHS,New Store
1,P1,3410.36,8302.02,368,63,93,340.72,Fresh,Frozen Foods,North Dublin,SKU_58,77.49,Zeta,0.82,3.68,GHS,Arklow Store
1,P1,3548.75,927.18,494,207,93,116.06,Fresh,Dairy,South Dublin,SKU_59,462.5,Omega,0.33,1.9,InStore,Arklow Store
1,P1,4949.36,5019.23,146,170,95,249.29,Clothing,Berries,North Dublin,SKU_60,118.3,Zeta,0.44,1.07,InStore,Wilton Store
1,P1,2740.22,9028.3,166,177,100,242.83,Packaged,Juice,Kerry/Limerick,SKU_61,17.01,Roshni,0.99,2.82,InStore,Arklow Store
1,P1,2321.34,3957.15,435,256,78,464.85,Fresh,Snacks,Mid-West,SKU_62,60.08,Wick,0.87,1.73,InStore,Arklow Store
1,P1,9658.43,1177.32,103,266,100,175.69,Fresh,Frozen Foods,South Dublin,SKU_63,130.96,Omega,0.7,2.09,GHS,Wilton Store
1,P1,6365.82,6486.34,85,133,83,302.65,Fresh,Dairy,South Dublin,SKU_64,290.82,Roshni,0.59,3.09,GHS,Wilton Store
1,P1,1685.41,2480.93,72,173,80,101.37,Clothing,Berries,Mid-West,SKU_65,425.67,Omega,0.31,1.01,InStore,Arklow Store
1,P1,9605.73,2963.96,227,165,78,287.62,Fresh,Beers,South Dublin,SKU_66,479.48,Roshni,0.8,1.77,InStore,Arklow Store
1,P1,5254.0,8718.68,424,297,76,252.28,Fresh,Berries,Mid-West,SKU_67,228.25,Roshni,0.46,2.64,GHS,Arklow Store
1,P1,2899.69,9390.72,437,273,71,245.08,Fresh,Berries,North Dublin,SKU_68,316.0,Zeta,0.29,1.32,GHS,New Store
1,P1,8323.25,5490.82,260,145,75,252.64,Packaged,Beers,South Dublin,SKU_69,189.07,Omega,0.47,1.04,InStore,New Store
1,P1,716.62,5955.5,105,269,89,251.4,Packaged,Breads,South Dublin,SKU_70,331.64,Omega,0.13,0.78,InStore,Arklow Store
1,P1,8792.35,3142.42,426,72,74,364.79,Fresh,Snacks,South Dublin,SKU_71,231.75,Zeta,0.61,3.15,GHS,Wilton Store
1,P1,9262.71,1312.36,342,225,93,205.97,Fresh,Breads,Mid-West,SKU_72,34.18,Roshni,0.37,2.99,GHS,New Store
1,P1,3371.74,9021.04,292,198,71,50.34,Packaged,Dairy,South Dublin,SKU_73,303.67,Zeta,0.7,1.01,GHS,Wexford Store
1,P1,4938.2,8715.53,145,244,91,318.9,Fresh,Breads,Kerry/Limerick,SKU_74,447.57,Omega,0.69,4.83,InStore,Wilton Store
1,P1,2563.54,8168.4,339,83,100,195.19,Packaged,Frozen Foods,Mid-West,SKU_75,248.47,Zeta,0.54,1.74,GHS,New Store
1,P1,847.16,5618.06,377,44,73,438.44,Fresh,Breads,Kerry/Limerick,SKU_76,90.85,Roshni,0.65,1.94,GHS,Wexford Store
1,P1,9757.55,3868.12,109,162,99,199.23,Clothing,Dairy,Mid-West,SKU_77,310.47,Omega,0.62,2.49,GHS,Wilton Store
1,P1,2323.85,3868.71,164,185,76,207.9,Packaged,Frozen Foods,South Dublin,SKU_78,331.97,Roshni,0.74,4.29,GHS,Wexford Store
1,P1,4039.56,3944.3,383,282,97,250.5,Clothing,Frozen Foods,Kerry/Limerick,SKU_79,446.82,Omega,0.98,0.96,InStore,Arklow Store
1,P1,9323.81,5507.8,489,153,75,151.97,Packaged,Juice,North Dublin,SKU_80,441.78,Roshni,0.54,4.99,GHS,New Store
1,P1,8799.07,4298.67,218,203,71,218.08,Packaged,Beers,North Dublin,SKU_81,481.71,Wick,0.91,2.27,InStore,New Store
1,P1,6988.45,5333.93,449,208,79,122.52,Clothing,Beers,Kerry/Limerick,SKU_82,177.2,Wick,0.83,2.66,InStore,Arklow Store
1,P1,7719.31,5187.17,224,119,79,57.47,Clothing,Juice,South Dublin,SKU_83,98.46,Omega,0.81,2.52,GHS,New Store
1,P1,9213.09,3203.55,457,168,90,122.58,Packaged,Dairy,South Dublin,SKU_84,215.77,Zeta,0.36,1.28,InStore,Arklow Store
1,P1,6423.07,4067.88,455,288,85,382.16,Clothing,Snacks,Mid-West,SKU_85,124.94,Wick,0.1,4.52,InStore,Wilton Store
1,P1,2304.56,7436.76,51,101,78,175.68,Clothing,Berries,Mid-West,SKU_86,464.89,Wick,0.27,4.88,GHS,Wilton Store
1,P1,2931.41,3795.89,497,287,85,242.03,Packaged,Beers,North Dublin,SKU_87,371.18,Wick,0.4,3.84,InStore,Arklow Store
1,P1,8044.36,9387.07,116,268,72,113.48,Clothing,Frozen Foods,North Dublin,SKU_88,48.16,Zeta,0.6,2.97,GHS,New Store
1,P1,636.46,1663.37,253,47,92,144.47,Packaged,Breads,South Dublin,SKU_89,415.46,Roshni,0.14,1.39,InStore,Arklow Store
1,P1,9836.88,1321.86,194,178,71,191.83,Packaged,Berries,Mid-West,SKU_90,391.44,Roshni,0.42,4.62,GHS,Arklow Store
1,P1,3921.91,2746.16,363,66,95,313.38,Clothing,Frozen Foods,South Dublin,SKU_91,312.09,Zeta,0.39,2.59,GHS,New Store
1,P1,2591.41,4063.68,303,236,91,158.96,Packaged,Breads,South Dublin,SKU_92,311.5,Zeta,0.75,4.22,GHS,Arklow Store
1,P1,9294.29,1621.41,82,138,88,63.46,Clothing,Beers,South Dublin,SKU_93,304.65,Zeta,0.63,3.84,GHS,Arklow Store
1,P1,9422.27,9397.09,257,200,100,159.1,Clothing,Frozen Foods,South Dublin,SKU_94,353.51,Wick,0.65,3.74,InStore,New Store
1,P1,4738.84,7718.77,493,207,73,391.43,Clothing,Beers,North Dublin,SKU_95,295.55,Wick,0.61,3.66,InStore,Wilton Store
1,P1,1072.31,638.17,482,152,95,76.79,Clothing,Juice,Mid-West,SKU_96,316.8,Zeta,0.82,0.77,GHS,Arklow Store
1,P1,2824.77,7225.92,191,100,70,213.1,Clothing,Berries,South Dublin,SKU_97,288.32,Omega,0.79,2.86,GHS,Wexford Store
1,P1,6704.26,5330.71,82,259,74,33.25,Packaged,Frozen Foods,Kerry/Limerick,SKU_98,232.22,Zeta,0.38,4.59,InStore,Wexford Store
1,P1,3260.78,1220.0,342,242,79,173.1,Clothing,Beers,Kerry/Limerick,SKU_99,287.54,Roshni,0.31,2.76,InStore,New Store
1,P1,3751.49,3528.01,115,130,86,342.49,Fresh,Juice,South Dublin,SKU_100,55.39,Omega,0.3,1.98,GHS,New Store
1,P2,4568.65,1236.45,393,121,90,11.48,Clothing,Dairy,South Dublin,SKU_1,393.31,Zeta,0.92,3.77,GHS,New Store
1,P2,8507.67,1729.05,55,139,71,326.85,Fresh,Dairy,North Dublin,SKU_2,133.6,Roshni,0.92,4.74,GHS,Wilton Store
1,P2,3081.42,8145.78,467,110,76,141.56,Clothing,Berries,Kerry/Limerick,SKU_3,107.35,Omega,0.67,1.26,GHS,New Store
1,P2,7947.58,8192.17,382,176,84,399.5,Packaged,Breads,South Dublin,SKU_4,122.76,Zeta,0.55,4.02,InStore,Arklow Store
1,P2,4538.42,5255.3,225,100,82,249.38,Clothing,Dairy,South Dublin,SKU_5,115.01,Wick,0.24,3.05,InStore,New Store
1,P2,2004.56,2659.24,413,51,81,249.01,Clothing,Dairy,Kerry/Limerick,SKU_6,404.99,Zeta,0.55,2.13,GHS,Arklow Store
1,P2,9422.61,5942.08,244,232,81,272.17,Fresh,Frozen Foods,South Dublin,SKU_7,180.31,Roshni,0.62,1.43,InStore,Wexford Store
1,P2,2391.26,8031.7,57,162,87,70.9,Packaged,Frozen Foods,Kerry/Limerick,SKU_8,482.2,Roshni,0.54,2.33,GHS,New Store
1,P2,669.06,4196.61,262,161,86,243.35,Packaged,Frozen Foods,North Dublin,SKU_9,400.5,Zeta,0.87,4.06,InStore,New Store
1,P2,9557.74,5828.3,120,276,81,451.1,Fresh,Berries,Kerry/Limerick,SKU_10,145.71,Omega,0.47,4.45,InStore,Arklow Store
1,P2,7258.88,9115.37,380,284,76,439.26,Packaged,Snacks,Kerry/Limerick,SKU_11,215.94,Roshni,0.78,3.68,GHS,New Store
1,P2,9475.6,4593.07,300,189,83,381.34,Packaged,Snacks,North Dublin,SKU_12,57.59,Zeta,0.89,4.29,GHS,Wexford Store
1,P2,9602.05,2508.48,146,75,75,490.11,Fresh,Juice,South Dublin,SKU_13,145.66,Wick,0.25,4.48,InStore,Wilton Store
1,P2,9517.61,3371.88,180,142,81,328.01,Clothing,Snacks,North Dublin,SKU_14,258.49,Wick,0.12,1.88,InStore,Wilton Store
1,P2,1100.23,2025.55,200,233,76,281.82,Packaged,Breads,Mid-West,SKU_15,228.08,Omega,0.86,4.97,InStore,New Store
1,P2,5092.8,6928.07,364,47,78,205.45,Packaged,Breads,Mid-West,SKU_16,94.58,Omega,0.37,1.07,InStore,Arklow Store
1,P2,2496.82,6027.01,155,232,78,114.82,Packaged,Breads,South Dublin,SKU_17,409.38,Zeta,0.32,1.97,InStore,Arklow Store
1,P2,8588.78,1094.19,345,283,70,310.36,Packaged,Berries,Mid-West,SKU_18,128.13,Roshni,0.69,0.74,InStore,Arklow Store
1,P2,6378.21,959.39,64,122,95,234.41,Fresh,Frozen Foods,Kerry/Limerick,SKU_19,341.43,Roshni,0.69,4.87,InStore,New Store
1,P2,6530.09,4517.58,357,209,76,171.08,Fresh,Frozen Foods,South Dublin,SKU_20,490.43,Wick,0.76,4.35,InStore,Wexford Store
1,P2,4714.71,4880.64,306,105,84,215.01,Fresh,Juice,North Dublin,SKU_21,88.02,Roshni,0.9,1.84,InStore,Arklow Store
1,P2,4974.46,8145.95,184,282,94,194.65,Fresh,Juice,South Dublin,SKU_22,446.72,Wick,0.22,3.8,GHS,Wilton Store
1,P2,5819.13,8532.34,242,36,80,54.53,Fresh,Beers,South Dublin,SKU_23,24.51,Wick,0.55,4.28,GHS,Arklow Store
1,P2,2251.83,8400.33,245,135,100,481.13,Packaged,Breads,Mid-West,SKU_24,192.96,Wick,0.42,2.13,InStore,Arklow Store
1,P2,8398.05,1439.34,474,96,73,236.87,Fresh,Beers,Kerry/Limerick,SKU_25,262.93,Omega,0.54,0.9,GHS,New Store
1,P2,685.47,5484.48,59,186,80,259.71,Clothing,Juice,North Dublin,SKU_26,309.07,Roshni,0.83,2.73,InStore,New Store
1,P2,9316.07,2673.93,359,104,91,480.11,Clothing,Beers,Kerry/Limerick,SKU_27,97.63,Roshni,0.87,4.54,GHS,Arklow Store
1,P2,1904.11,7158.81,448,182,96,262.18,Fresh,Dairy,South Dublin,SKU_28,187.4,Wick,0.46,2.55,GHS,Wexford Store
1,P2,4299.01,7353.59,178,237,91,415.34,Fresh,Beers,North Dublin,SKU_29,95.49,Roshni,0.62,3.17,GHS,New Store
1,P2,595.27,6437.91,127,176,97,121.07,Fresh,Dairy,North Dublin,SKU_30,198.76,Roshni,0.24,4.55,InStore,Wexford Store
1,P2,1056.83,3889.97,374,147,90,113.07,Clothing,Beers,North Dublin,SKU_31,457.94,Omega,0.23,4.16,GHS,Arklow Store
1,P2,9653.31,7916.93,367,196,82,130.86,Packaged,Berries,South Dublin,SKU_32,274.22,Wick,0.61,4.61,InStore,Wilton Store
1,P2,2473.16,5741.64,277,94,84,101.89,Fresh,Berries,North Dublin,SKU_33,63.21,Roshni,0.31,2.61,InStore,Wilton Store
1,P2,4472.68,5376.92,51,184,90,369.72,Clothing,Berries,North Dublin,SKU_34,330.93,Zeta,0.61,2.57,InStore,Arklow Store
1,P2,4055.62,8556.99,285,275,100,35.29,Clothing,Beers,Kerry/Limerick,SKU_35,313.95,Wick,0.12,2.15,InStore,Arklow Store
1,P2,7258.22,9013.86,484,252,82,263.14,Packaged,Frozen Foods,Mid-West,SKU_36,343.91,Zeta,0.86,2.55,GHS,Arklow Store
1,P2,5682.81,3694.64,248,204,80,17.94,Clothing,Juice,South Dublin,SKU_37,141.41,Zeta,0.1,1.21,InStore,Wilton Store
1,P2,531.36,941.81,299,77,73,30.41,Clothing,Beers,Kerry/Limerick,SKU_38,15.69,Wick,0.67,0.61,InStore,Wilton Store
1,P2,9524.94,1256.09,314,41,98,409.14,Clothing,Frozen Foods,North Dublin,SKU_39,217.54,Omega,0.32,1.54,InStore,Wexford Store
1,P2,6743.24,7985.83,477,208,78,172.43,Clothing,Berries,South Dublin,SKU_40,483.61,Roshni,0.66,3.39,InStore,New Store
1,P2,3836.95,654.27,453,136,89,26.55,Clothing,Frozen Foods,North Dublin,SKU_41,189.65,Wick,0.23,1.02,GHS,New Store
1,P2,9706.61,1317.64,425,298,80,123.43,Clothing,Berries,North Dublin,SKU_42,328.55,Omega,0.42,2.13,InStore,Arklow Store
1,P2,8650.94,8449.31,436,36,96,137.32,Packaged,Breads,North Dublin,SKU_43,383.06,Omega,0.14,3.57,GHS,Wexford Store
1,P2,7860.55,3122.77,128,246,74,180.36,Packaged,Berries,South Dublin,SKU_44,161.63,Zeta,0.45,1.93,GHS,New Store
1,P2,3844.32,7895.54,489,83,79,389.1,Clothing,Dairy,Kerry/Limerick,SKU_45,332.56,Omega,0.31,4.6,GHS,Wexford Store
1,P2,3838.01,1697.16,493,223,87,409.64,Packaged,Snacks,South Dublin,SKU_46,118.75,Wick,0.77,2.86,GHS,Wexford Store
1,P2,2238.36,3268.04,407,264,87,496.82,Clothing,Beers,North Dublin,SKU_47,387.86,Roshni,0.76,3.89,GHS,Wilton Store
1,P2,8360.16,7831.03,344,205,77,151.49,Fresh,Juice,Kerry/Limerick,SKU_48,325.19,Omega,0.22,1.59,InStore,Wilton Store
1,P2,3169.04,5538.4,485,115,84,121.47,Fresh,Berries,Mid-West,SKU_49,464.87,Omega,0.7,2.38,GHS,New Store
1,P2,764.89,5882.45,135,191,76,379.77,Clothing,Dairy,South Dublin,SKU_50,49.56,Zeta,0.38,4.01,GHS,Wilton Store
1,P2,5734.03,2740.71,154,180,83,208.72,Clothing,Juice,North Dublin,SKU_51,130.07,Omega,0.82,3.25,GHS,Arklow Store
1,P2,8726.42,1344.02,166,282,100,450.85,Packaged,Beers,Mid-West,SKU_52,175.92,Roshni,0.31,3.27,GHS,New Store
1,P2,2854.91,8329.78,305,175,98,397.9,Packaged,Juice,Mid-West,SKU_53,76.7,Wick,0.97,1.5,InStore,Wilton Store
1,P2,4359.15,1210.61,416,122,78,344.98,Packaged,Juice,North Dublin,SKU_54,316.14,Omega,0.83,4.32,InStore,Wilton Store
1,P2,9755.7,720.58,71,220,98,188.62,Fresh,Frozen Foods,South Dublin,SKU_55,142.41,Omega,0.74,2.04,InStore,New Store
1,P2,4015.05,1776.27,478,63,75,494.71,Packaged,Snacks,Mid-West,SKU_56,62.76,Zeta,0.66,3.92,InStore,Wilton Store
1,P2,9941.62,4832.27,253,127,84,74.39,Clothing,Dairy,Kerry/Limerick,SKU_57,415.2,Roshni,0.62,2.76,GHS,Arklow Store
1,P2,9017.04,562.76,256,51,79,74.43,Packaged,Dairy,North Dublin,SKU_58,319.46,Zeta,0.66,2.01,InStore,Wexford Store
1,P2,6890.75,7940.6,430,59,70,271.36,Clothing,Juice,South Dublin,SKU_59,407.39,Roshni,0.18,3.0,InStore,Wilton Store
1,P2,8116.88,2719.97,396,296,71,40.46,Clothing,Snacks,North Dublin,SKU_60,482.76,Wick,0.92,4.08,InStore,Arklow Store
1,P2,9746.16,4097.69,236,97,90,265.5,Clothing,Snacks,North Dublin,SKU_61,84.42,Roshni,0.26,4.07,GHS,Wexford Store
1,P2,4829.48,4195.53,398,202,99,482.58,Packaged,Dairy,Kerry/Limerick,SKU_62,117.92,Wick,0.55,4.78,InStore,Wilton Store
1,P2,1900.74,9171.02,401,234,79,150.5,Clothing,Snacks,Kerry/Limerick,SKU_63,73.37,Zeta,0.19,3.22,GHS,Wilton Store
1,P2,8788.95,2176.57,485,72,93,357.0,Fresh,Frozen Foods,Mid-West,SKU_64,456.66,Omega,0.11,2.25,GHS,Wilton Store
1,P2,6122.91,3475.99,188,78,93,300.65,Clothing,Snacks,North Dublin,SKU_65,103.66,Roshni,0.84,3.91,GHS,Wilton Store
1,P2,8276.98,2484.37,385,266,71,436.45,Packaged,Juice,Mid-West,SKU_66,187.06,Zeta,0.38,1.9,GHS,New Store
1,P2,7145.41,3125.33,80,97,96,278.42,Packaged,Frozen Foods,Mid-West,SKU_67,362.85,Zeta,0.29,1.72,GHS,Wilton Store
1,P2,4291.92,7272.24,139,102,96,170.99,Fresh,Juice,Mid-West,SKU_68,398.17,Wick,0.8,4.98,InStore,Wilton Store
1,P2,6764.41,3373.6,92,273,75,370.79,Fresh,Snacks,South Dublin,SKU_69,391.66,Roshni,0.7,4.24,InStore,New Store
1,P2,7646.69,1867.17,178,78,99,248.07,Clothing,Beers,Kerry/Limerick,SKU_70,273.79,Wick,0.59,4.17,GHS,Wilton Store
1,P2,548.98,3550.3,496,290,75,92.6,Fresh,Snacks,South Dublin,SKU_71,20.48,Omega,0.55,1.22,GHS,Wilton Store
1,P2,9218.61,5961.8,448,291,98,29.03,Packaged,Frozen Foods,South Dublin,SKU_72,133.53,Roshni,0.22,4.01,GHS,Arklow Store
1,P2,3157.91,6345.14,114,193,91,271.96,Packaged,Juice,North Dublin,SKU_73,130.57,Roshni,0.21,2.1,GHS,Wexford Store
1,P2,7382.64,617.74,362,105,86,458.13,Clothing,Frozen Foods,South Dublin,SKU_74,285.64,Wick,0.37,3.67,InStore,Wilton Store
1,P2,4970.5,8207.82,287,258,98,234.79,Packaged,Breads,Kerry/Limerick,SKU_75,463.75,Omega,0.78,3.02,InStore,New Store
1,P2,2486.34,4561.43,265,78,82,37.14,Packaged,Berries,Mid-West,SKU_76,341.77,Zeta,0.97,2.32,GHS,Wilton Store
1,P2,6232.89,6932.47,173,131,92,396.34,Packaged,Berries,Mid-West,SKU_77,70.75,Zeta,0.96,3.06,InStore,Wexford Store
1,P2,6376.52,2235.58,441,128,80,237.47,Clothing,Frozen Foods,Kerry/Limerick,SKU_78,252.59,Wick,0.12,4.16,GHS,New Store
1,P2,9205.44,3817.36,448,223,77,454.15,Fresh,Snacks,North Dublin,SKU_79,444.09,Wick,0.51,4.14,InStore,Wexford Store
1,P2,1139.02,5655.27,487,276,93,270.94,Fresh,Beers,Mid-West,SKU_80,354.25,Wick,0.75,1.76,InStore,Wexford Store
1,P2,5466.48,1038.94,375,34,87,444.07,Clothing,Berries,South Dublin,SKU_81,197.55,Omega,0.52,1.26,GHS,Wexford Store
1,P2,5716.03,6441.86,473,265,80,198.13,Clothing,Beers,Kerry/Limerick,SKU_82,27.56,Roshni,0.98,3.93,InStore,Wilton Store
1,P2,5460.59,4436.04,189,81,85,178.7,Packaged,Dairy,South Dublin,SKU_83,18.42,Roshni,0.41,0.7,InStore,Wilton Store
1,P2,5894.94,3026.67,227,286,77,392.99,Clothing,Breads,Kerry/Limerick,SKU_84,105.06,Wick,0.34,4.61,GHS,Arklow Store
